Row,reno_cwnd,reno_cwnd_derivative,reno_cwnd_difference,cubic_cwnd,cubic_cwnd_derivative,cubic_cwnd_difference,yeah_cwnd,yeah_cwnd_derivative,yeah_cwnd_difference,vegas_cwnd,vegas_cwnd_derivative,vegas_cwnd_difference,reno_goodput,reno_goodput_derivative,reno_goodput_difference,cubic_goodput,cubic_goodput_derivative,cubic_goodput_difference,yeah_goodput,yeah_goodput_derivative,yeah_goodput_difference,vegas_goodput,vegas_goodput_derivative,vegas_goodput_difference,reno_rtt,reno_rtt_derivative,reno_rtt_difference,cubic_rtt,cubic_rtt_derivative,cubic_rtt_difference,yeah_rtt,yeah_rtt_derivative,yeah_rtt_difference,vegas_rtt,vegas_rtt_derivative,vegas_rtt_difference,reno_loss,reno_loss_derivative,reno_loss_difference,cubic_loss,cubic_loss_derivative,cubic_loss_difference,yeah_loss,yeah_loss_derivative,yeah_loss_difference,vegas_loss,vegas_loss_derivative,vegas_loss_difference
23,5.0,0.21739130434782608,2.0,25.0,1.0869565217391304,0.0,21.0,0.9130434782608695,0.0,10.0,0.43478260869565216,0.0,44,1.9130434782608696,4,135,5.869565217391305,0,119,5.173913043478261,0,58,2.5217391304347827,0,2.1,0.09130434782608696,0.0,2.1,0.09130434782608696,0.0,4.2,0.1826086956521739,0.0,2.1,0.09130434782608696,0.0,9,0.391304347826087,0,10,0.43478260869565216,0,13,0.5652173913043478,0,1,0.043478260869565216,0
24,5.0,0.20833333333333334,0.0,37.0,1.5416666666666667,12.0,23.0,0.9583333333333334,2.0,10.9,0.45416666666666666,0.9000000000000004,44,1.8333333333333333,0,160,6.666666666666667,25,140,5.833333333333333,21,67,2.7916666666666665,9,2.1,0.08750000000000001,0.0,2.1,0.08750000000000001,0.0,2.1,0.08750000000000001,-2.1,2.1,0.08750000000000001,0.0,9,0.375,0,17,0.7083333333333334,7,13,0.5416666666666666,0,1,0.041666666666666664,0
25,6.329,0.25316,1.3289999999999997,37.0,1.48,0.0,23.0,0.92,0.0,10.9,0.436,0.0,50,2.0,6,160,6.4,0,140,5.6,0,67,2.68,0,2.1,0.084,0.0,2.1,0.084,0.0,2.1,0.084,0.0,2.1,0.084,0.0,9,0.36,0,17,0.68,0,13,0.52,0,1,0.04,0
26,6.329,0.2434230769230769,0.0,36.0,1.3846153846153846,-1.0,24.0,0.9230769230769231,1.0,11.817,0.4545,0.9169999999999998,50,1.9230769230769231,0,177,6.8076923076923075,17,163,6.269230769230769,23,77,2.9615384615384617,10,2.1,0.08076923076923077,0.0,2.1,0.08076923076923077,0.0,2.1,0.08076923076923077,0.0,2.1,0.08076923076923077,0.0,9,0.34615384615384615,0,21,0.8076923076923077,4,13,0.5,0,1,0.038461538461538464,0
27,6.641,0.24596296296296297,0.3120000000000003,36.0,1.3333333333333333,0.0,24.0,0.8888888888888888,0.0,11.817,0.43766666666666665,0.0,57,2.111111111111111,7,177,6.555555555555555,0,163,6.037037037037037,0,77,2.8518518518518516,0,2.1,0.07777777777777778,0.0,2.1,0.07777777777777778,0.0,2.1,0.07777777777777778,0.0,2.1,0.07777777777777778,0.0,9,0.3333333333333333,0,21,0.7777777777777778,0,13,0.48148148148148145,0,1,0.037037037037037035,0
28,6.641,0.23717857142857143,0.0,36.0,1.2857142857142858,0.0,25.0,0.8928571428571429,1.0,12.748,0.45528571428571424,0.9309999999999992,57,2.0357142857142856,0,195,6.964285714285714,18,187,6.678571428571429,24,88,3.142857142857143,11,2.1,0.075,0.0,2.1,0.075,0.0,2.1,0.075,0.0,2.1,0.075,0.0,9,0.32142857142857145,0,22,0.7857142857142857,1,13,0.4642857142857143,0,1,0.03571428571428571,0
29,7.632,0.2631724137931034,0.9909999999999997,36.0,1.2413793103448276,0.0,25.0,0.8620689655172413,0.0,12.748,0.4395862068965517,0.0,64,2.206896551724138,7,195,6.724137931034483,0,187,6.448275862068965,0,88,3.0344827586206895,0,2.1,0.07241379310344828,0.0,2.1,0.07241379310344828,0.0,2.1,0.07241379310344828,0.0,2.1,0.07241379310344828,0.0,9,0.3103448275862069,0,22,0.7586206896551724,0,13,0.4482758620689655,0,1,0.034482758620689655,0
30,7.632,0.2544,0.0,35.0,1.1666666666666667,-1.0,26.0,0.8666666666666667,1.0,13.69,0.4563333333333333,0.9420000000000002,64,2.1333333333333333,0,250,8.333333333333334,55,212,7.066666666666666,25,100,3.3333333333333335,12,2.1,0.07,0.0,4.2,0.14,2.1,2.1,0.07,0.0,2.1,0.07,0.0,9,0.3,0,22,0.7333333333333333,0,13,0.43333333333333335,0,1,0.03333333333333333,0
31,8.506,0.27438709677419354,0.8740000000000006,35.0,1.1290322580645162,0.0,26.0,0.8387096774193549,0.0,13.69,0.44161290322580643,0.0,71,2.2903225806451615,7,250,8.064516129032258,0,212,6.838709677419355,0,100,3.225806451612903,0,2.1,0.06774193548387097,0.0,4.2,0.13548387096774195,0.0,2.1,0.06774193548387097,0.0,2.1,0.06774193548387097,0.0,9,0.2903225806451613,0,22,0.7096774193548387,0,13,0.41935483870967744,0,1,0.03225806451612903,0
32,8.506,0.2658125,0.0,30.0,0.9375,-5.0,27.0,0.84375,1.0,14.639,0.45746875,0.9489999999999998,71,2.21875,0,291,9.09375,41,238,7.4375,26,113,3.53125,13,2.1,0.065625,0.0,2.103,0.06571875,-2.097,2.1,0.065625,0.0,2.1,0.065625,0.0,9,0.28125,0,22,0.6875,0,13,0.40625,0,1,0.03125,0
